year,baseline_reproduced_D_Y_pp,source_D_Y_pp,abs_diff_pp
2024,55.08902359008789,55.08902359008789,0.0
2025,59.52917386888945,59.51612854003906,0.013045328850388671
2026,64.91606747086746,64.90138244628906,0.014685024578398043
2027,69.6866201337523,69.67215728759766,0.014462846154643216
2028,73.20891542054807,73.19452667236328,0.014388748184785527
2029,77.06203876658174,77.04766845703125,0.014370309550486127
2030,81.13725933095938,81.12287902832031,0.014380302639068532
2031,85.15803570611851,85.14363861083984,0.014397095278667393
2032,89.35226179240779,89.33782958984375,0.014432202564037766
2033,93.43472831074321,93.42025756835938,0.0144707423838355
2034,97.6322034080605,97.61768341064452,0.014519997415987973
2035,102.00907482073174,101.9944839477539,0.014590872977834124
2036,106.8088244638273,106.79410552978516,0.014718934042150522
