equation_id,where_used,plain_description,formula_text,visible_outputs
fixed_effect_residualization,"Shock construction, design matrices, local projections",Remove country and year means before estimating slope coefficients.,"tilde(v) = v - P_FE v, where P_FE is the projection on country and year fixed effects.",shock_panel_r788.csv; visible_lp_estimates_all_horizons_r788.csv
local_projection_slope,"Output, investment-spending and direct-debt responses","Estimate each horizon response on the investment shock, controls and shock-by-state interactions.","tilde(y_{i,t+h}-y_{i,t-1}) = beta_h tilde(x_{i,t}) + error_{i,t+h}.",visible_lp_estimates_all_horizons_r788.csv; direct_debt_kernel_all_horizons_r788.csv
poland_profile_contrast,State-specific Poland 2025 estimates,Evaluate the shock coefficient at Poland's 2025 lagged state profile.,"beta_profile = beta_shock + sum_s beta_{shock*s} z_{POL,2025,s}.",poland_mixed_window_profile_r788.csv; visible_lp_estimates_all_horizons_r788.csv
response_ratio,K_Y and K_G paths,Scale each outcome response by the initial public-investment action.,"ratio_h = beta_outcome,h,profile / beta_initial_investment,0,profile.",visible_lp_estimates_all_horizons_r788.csv
normal_p_value,"Coefficient, denominator and ratio diagnostics",Turn estimate and standard error into a two-sided normal p-value.,p = 2 * (1 - Phi(abs(estimate / se))).,visible_lp_estimates_all_horizons_r788.csv; model_admission_screen_r788.csv
driscoll_kraay_covariance,Coefficient uncertainty and ratio uncertainty,Aggregate year-level score products with symmetric lag terms before forming standard errors.,S_ab = sum_t a_t b_t' + sum_l w_l [sum_t a_t b_{t-l}' + sum_t a_{t-l} b_t'].,full_stepwise_covariance_blocks_r788.csv; covariance_symmetry_qa_r788.csv
cumulative_multiplier,h=8 K_Y and K_G values,Sum horizon-by-horizon scaled responses through horizon h.,K_h = sum_{j=0}^{h} ratio_j.,visible_lp_estimates_h8_summary_r788.csv; retained_candidate_response_paths_r788.csv
scenario_convolution,Three-year cut and expansion paths,Apply response kernels to the 2028-2030 fiscal-action path.,path_h = sum_{s=0}^{h} action_s * kernel_{h-s}.,three_year_program_paths_r788.csv
dsa_debt_recursion,Institutional debt equation,"Update annual debt using interest, nominal growth, primary balance and stock-flow terms.",D_t/Y_t = (D_{t-1}/Y_{t-1})*(1+r_t)/(1+g_t) - PB_t/Y_t + SFA_t/Y_t.,dsm_baseline_reproduction_r788.csv; dsa_debt_paths_r788.csv
admission_gate,Model-admission screen,"Retain only diagnostic paths passing all visible support, design and output-interaction gates.",retain = rank_pass & condition_pass & feature_correlation_pass & support_pass & profile_z_pass & denominator_pass & output_interaction_pass.,model_admission_screen_r788.csv
country_bootstrap,Cumulative uncertainty,"Resample countries, re-estimate visible paths, then propagate them to debt endpoints.","For b in 1..B: sample countries with replacement, re-estimate ratios, recompute debt paths.",cumulative_uncertainty_bootstrap_draws_r788.csv; cumulative_uncertainty_summary_r788.csv
