profile_year,feature_set,z_columns,complete_countries,missing_countries,ireland_complete,poland_complete
2025,trade,trade_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,debt,debt_z,27,,True,True
2025,liq,liq_z,26,IRL,False,True
2025,log_gdp_pc,log_gdp_pc_z,27,,True,True
2025,trade+debt,trade_z|debt_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,trade+liq,trade_z|liq_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,trade+log_gdp_pc,trade_z|log_gdp_pc_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,debt+liq,debt_z|liq_z,26,IRL,False,True
2025,debt+log_gdp_pc,debt_z|log_gdp_pc_z,27,,True,True
2025,liq+log_gdp_pc,liq_z|log_gdp_pc_z,26,IRL,False,True
2025,trade+debt+liq,trade_z|debt_z|liq_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,trade+debt+log_gdp_pc,trade_z|debt_z|log_gdp_pc_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,trade+liq+log_gdp_pc,trade_z|liq_z|log_gdp_pc_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
2025,debt+liq+log_gdp_pc,debt_z|liq_z|log_gdp_pc_z,26,IRL,False,True
2025,trade+debt+liq+log_gdp_pc,trade_z|debt_z|liq_z|log_gdp_pc_z,1,AUT|BEL|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|IRL|ITA|LVA|LTU|LUX|MLT|NLD|PRT|ROU|SVK|SVN|ESP|SWE,False,True
