group,file,relative_path,rows,columns,sha256,min_year,max_year
source_inputs,gdp_pc_current_pps.csv,data/source_inputs/gdp_pc_current_pps.csv,810,freq|unit|na_item|geo|time|gdp_pc_current_pps|country|year,983e032bf46c7d6ae35928458ce27250c28c5e0ef9f99ba11a00beeb0b82551d,1995.0,2024.0
source_inputs,gdp_pc_real_index_2020.csv,data/source_inputs/gdp_pc_real_index_2020.csv,805,freq|unit|na_item|geo|time|gdp_pc_real_index_2020|country|year,97be4098554742a24cba15d57b06cb10dc1feb87aa6c1b980291d686c2d66e5f,1995.0,2024.0
source_inputs,government_debt_eu27_current.csv,data/source_inputs/government_debt_eu27_current.csv,832,freq|freq_label|unit|unit_label|sector|sector_label|na_item|na_item_label|geo|geo_label|time|time_label|value|status|dataset_label|source|updated,840bb57f9d665d5543893112bafa1a0c776dc3fea7802499433a299f33f991ed,1995.0,2025.0
source_inputs,hh_total_financial_assets.csv,data/source_inputs/hh_total_financial_assets.csv,803,freq|unit|co_nco|sector|finpos|na_item|geo|time|hh_total_financial_assets_mio_eur|country|year,edb72ffa2367f5d494fc16efbe2a6c3e742ba33feeb9ecfa92b7cbf4af5aa623,1995.0,2024.0
source_inputs,hh_total_financial_liabilities.csv,data/source_inputs/hh_total_financial_liabilities.csv,803,freq|unit|co_nco|sector|finpos|na_item|geo|time|hh_total_financial_liabilities_mio_eur|country|year,8c0410a6ceff30fa871a155d7b645c88b5da16ae97d732fa0d274a90d0eedf09,1995.0,2024.0
source_inputs,nominal_gdp.csv,data/source_inputs/nominal_gdp.csv,810,freq|unit|na_item|geo|time|nominal_gdp_mio_eur|country|year,42de16fa7653fee04a1e8671c5473a88a1311142cf0650f5a85e959af63a5c67,1995.0,2024.0
source_inputs,oecd_tiva_import_content_gfcf_cons_1995_2022.csv,data/source_inputs/oecd_tiva_import_content_gfcf_cons_1995_2022.csv,1512,country|year|measure|domestic_value_added_share_pct|import_content_share,2888f52eea685f408aa179926f7c9029c6758c137caf4f2e2a21986bff56d236,1995.0,2022.0
diagnostics,eurostat_2024_2025_values_long.csv,data/diagnostics/eurostat_2024_2025_values_long.csv,969,input|role|dataset|params|geo|country|year|value|status_flag,d2d5071892aae4300f27924cf10c2aae73a570aad866ce6956ca14f79d275b2d,2024.0,2025.0
diagnostics,eurostat_2025_availability.csv,data/diagnostics/eurostat_2025_availability.csv,18,input|role|dataset|params|present_2025|missing_2025_count|missing_2025_geo|missing_2025_country|status_flags_2025|present_2024|missing_2024_geo|eurostat_updated|fetched_at_utc|source_url|raw_json|raw_json_sha256,c38cbd1dde41bd8af4bb1b1b811de388e054defe1d9db59fd39fee277cc93186,,
diagnostics,eurostat_2025_extension_gate.csv,data/diagnostics/eurostat_2025_extension_gate.csv,3,gate|status|reason,f3d17c168d0aa9082234d1e42b83da9fe95c015fca178e3629bc1bbb1eebcf8d,,
diagnostics,eurostat_2025_poland_values.csv,data/diagnostics/eurostat_2025_poland_values.csv,18,input|dataset|value_2025|status_flag_2025|eurostat_updated,eabaf8beec25d8cc101613d3c19eedac82153fd345f42b20d01ceb9361395e1f,,
diagnostics,scenario_summary.csv,data/diagnostics/scenario_summary.csv,6,scenario|profile_year|sample_end_year|validation_mode|use_current_2025_inputs|tiva_treatment|mixed_poland_trade_profile_year|drop_ireland|design_status|description|run_status|returncode|retained_count|retained_features|retains_investment_import_content|retains_household_net_financial_worth|retains_real_ppp_income|equal_weight_K_Y_h8|equal_weight_K_G_h8|cut_DSA_margin_2036_equal_weight|cut_direct_DY_2036_equal_weight|expansion_DSA_margin_2036_equal_weight|expansion_direct_DY_2036_equal_weight|investment_import_content_source_min_year|investment_import_content_source_max_year|investment_import_content_nonmissing_rows|investment_import_content_poland_profile_raw|investment_import_content_poland_profile_z|investment_import_content_countries_2025_nonmissing|investment_import_content_standardization_end|investment_import_content_standardization_nobs|household_net_financial_worth_source_min_year|household_net_financial_worth_source_max_year|household_net_financial_worth_nonmissing_rows|household_net_financial_worth_poland_profile_raw|household_net_financial_worth_poland_profile_z|household_net_financial_worth_countries_2025_nonmissing|household_net_financial_worth_standardization_end|household_net_financial_worth_standardization_nobs|real_ppp_income_source_min_year|real_ppp_income_source_max_year|real_ppp_income_nonmissing_rows|real_ppp_income_poland_profile_raw|real_ppp_income_poland_profile_z|real_ppp_income_countries_2025_nonmissing|real_ppp_income_standardization_end|real_ppp_income_standardization_nobs,9165c7b343288d0548e92f53597221c5e7710f7550060999647e0dcb4374dcef,,
model_inputs,commission_poland_exogenous_path_20260310.csv,data/model_inputs/commission_poland_exogenous_path_20260310.csv,12,year|real_gdp_growth|gdp_deflator_growth|nominal_gdp_growth|implicit_interest_rate|real_rate_proxy|user_cost_proxy|primary_balance|interest_expenditure|gross_debt_ratio|gov_balance_ratio|gov_debt_ratio|hh_transfers_ratio_seed|nfc_gos_ratio_seed|s12_net_lending_ratio_seed|sample_type,d74f6f0714e250900bfe0ec95966fa899420372846e954197850cd4f9c585d73,2025.0,2036.0
model_inputs,ec_poland_dsm2025_baseline_table_20260308.csv,data/model_inputs/ec_poland_dsm2025_baseline_table_20260308.csv,13,year|gross_debt_ratio|change_in_ratio|primary_balance|structural_primary_balance|structural_primary_balance_before_ageing|cyclical_component|interest_expenditure|growth_effect_real|inflation_effect|stock_flow_adjustments|gross_financing_needs|structural_balance,53507933b9dccc2e5f45eaef3f8a18a2bcc84b596f3bb09806ab6acdb9a1f7cb,2024.0,2036.0
model_inputs,eu27_lp_joint_panel_snapshot.csv,data/model_inputs/eu27_lp_joint_panel_snapshot.csv,832,country|year|y_real|gc_real|gdp_deflator_pd15|gi_deflator_pd15|gi_nominal_mio_eur|gc_nominal_mio_eur|y_nominal_mio_eur|revenue_nominal_mio_eur|pb_ratio|gov10y_yield|implicit_i|debt_ratio_latest|short_rate|short_rate_source_rule|gi_real_gdp_deflator|gi_real_investment_deflator|gi_real|fiscal_pb|fiscal_T|interest_rate|debt_ratio|time_id,64c5efa4ebd44848cc7446b8e411201c60c7087b136cdde5062437ae65ecb3a9,1995.0,2025.0
